who_is,https,js_len,www_count,embed_url_count,http_count,-_count,suspicious,letter_count,special-Count,tld_length,if_org_or_gov,if_porn_u,if_ali_u,if_porn_d,if_safety_d,if_apple_d,if_cn,if_korea
0,0,405.9,1,-1,1,1,1,39,11,3,0,1,0,1,0,0,0,0
1,1,792.0,1,-1,1,0,1,30,9,3,0,1,0,1,0,0,0,0
0,0,658.8,1,-1,1,0,0,16,5,2,0,0,0,0,0,0,0,0
0,0,424.8,1,-1,1,4,0,39,11,3,0,0,0,0,0,0,0,0
0,0,371.7,1,-1,1,0,0,18,6,3,0,0,0,0,0,0,0,0
0,0,837.0,0,-1,1,0,0,25,7,2,0,0,0,0,0,0,0,0
0,0,837.0,0,-1,1,0,0,27,6,3,0,0,0,0,0,0,0,0
0,0,627.3,1,-1,1,0,0,19,6,3,0,0,0,0,0,0,1,0
0,0,606.6,1,-1,1,0,0,23,6,3,0,0,0,0,0,0,0,0
0,1,782.1,1,-1,1,6,1,55,14,3,0,1,0,1,0,0,0,0
0,0,777.6,1,-1,1,0,0,35,8,3,0,0,0,0,0,0,0,0
0,0,674.1,1,-1,1,0,0,16,5,2,0,0,0,0,0,0,0,0
0,0,551.7,1,-1,1,0,0,42,9,3,0,0,0,0,0,0,1,0
0,0,342.0,1,-1,1,0,0,19,6,3,0,0,0,0,0,0,0,0
0,0,321.3,1,-1,1,0,0,23,6,3,0,0,0,0,0,0,0,0
0,0,792.9,0,-1,1,0,0,13,5,3,0,0,0,0,0,0,0,0
0,0,547.2,1,-1,1,0,0,24,6,3,0,0,0,0,0,0,0,0
0,0,687.6,1,-1,1,0,0,22,6,3,0,0,0,0,0,0,0,0
0,0,584.1,0,-1,1,0,0,25,7,5,0,0,0,0,0,0,1,0
0,1,710.1,1,-1,1,0,0,27,6,3,0,0,0,0,0,0,0,0
0,0,0.0,1,-1,1,0,0,25,6,2,0,0,0,0,0,0,0,0
0,0,560.7,1,-1,1,0,0,17,5,3,0,0,0,0,0,0,0,0
0,0,813.6,0,-1,1,0,1,38,10,3,0,0,0,0,0,0,0,0
0,0,541.8,1,-1,1,0,0,36,7,3,0,0,0,0,0,0,0,0
0,0,487.8,1,-1,1,0,1,32,7,3,0,0,0,0,0,0,0,0
1,0,463.5,1,-1,1,1,0,17,7,2,0,0,0,0,0,0,1,0
0,0,429.3,1,-1,1,0,0,34,9,3,0,0,0,0,0,0,0,0
0,0,398.7,1,-1,1,0,0,13,6,2,0,0,0,0,0,0,0,0
0,0,502.2,1,-1,1,0,0,17,6,3,0,0,0,0,0,0,0,0
0,0,571.5,1,-1,1,0,0,19,6,6,0,0,0,0,0,0,0,0
0,0,409.5,1,-1,1,0,0,22,6,3,0,0,0,0,0,0,0,0
0,0,530.1,0,-1,1,0,0,26,8,2,0,0,0,0,0,0,0,0
0,0,324.0,1,-1,1,1,0,21,7,2,0,0,0,0,0,0,1,0
0,0,465.3,1,-1,1,0,0,23,6,2,0,0,0,0,0,0,0,0
0,1,774.9,1,-1,1,0,0,35,9,3,0,0,0,0,0,0,0,0
1,0,819.9,1,-1,1,2,0,26,8,2,0,0,0,0,0,0,0,0
1,0,0.0,1,-1,1,0,0,21,5,3,0,0,0,0,0,0,0,0
0,0,358.2,1,-1,1,4,0,61,14,3,0,0,0,0,0,0,0,0
0,0,549.0,1,-1,1,0,0,26,6,3,0,0,0,0,0,0,0,0
0,0,324.9,1,-1,1,1,0,31,8,3,0,0,0,0,0,0,0,0
0,0,538.2,1,-1,1,0,0,35,9,3,0,0,0,0,0,0,0,0
0,0,681.3,1,-1,1,3,1,45,11,3,0,1,0,0,0,0,0,0
