url_len,who_is,https,js_len,js_obf_len,dot_count,www_count,embed_url_count,https_count,space_count,=_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_porn_d,if_google_d,if_cn,if_japan,if_korea
65,0,0,837.0,393.39,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
52,0,1,651.6,508.248,2,0,-1,0,0,1,0,3,1,0,0,0,0,1,0,0
31,1,0,656.1,387.099,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
49,0,0,669.6,595.944,3,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
42,0,0,373.5,205.425,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
40,0,0,751.5,578.655,3,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
27,0,0,832.5,591.075,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
21,0,0,843.3,792.702,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,362.7,228.501,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
22,0,0,725.4,391.716,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
42,0,0,668.7,314.289,2,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
32,0,0,818.1,752.652,2,1,-1,0,0,0,0,2,0,0,0,0,0,1,0,0
34,1,0,583.2,244.944,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
24,0,0,580.5,493.425,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
21,0,0,530.1,360.468,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
24,0,0,496.8,258.336,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
29,1,0,0.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
31,0,0,806.4,758.016,1,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
24,0,0,644.4,463.968,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
26,0,0,542.7,276.777,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
46,0,0,612.0,257.04,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
24,0,0,768.6,568.764,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
26,0,0,814.5,464.265,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
47,0,0,700.2,406.116,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
28,0,0,369.9,295.92,3,1,-1,0,0,0,0,6,0,0,0,0,0,0,0,0
50,0,0,0.0,0.0,2,0,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
43,0,0,825.3,676.746,1,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,0,0,502.2,331.452,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
31,0,0,455.4,286.902,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
48,0,0,732.6,527.472,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,1,0
