url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
33,0,1,678.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
63,0,0,0.0,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
40,0,0,322.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
19,0,0,798.3,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
50,0,1,425.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
28,0,0,801.0,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0
34,0,0,366.3,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
25,0,0,529.2,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
50,0,0,755.1,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
31,0,0,622.8,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
47,0,0,323.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
25,0,0,782.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,0,834.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
31,1,0,511.2,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
27,0,0,766.8,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
30,0,0,633.6,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
53,0,0,486.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
26,1,0,738.0,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
26,0,0,844.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
30,0,0,422.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
37,0,0,756.0,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
